nombre,institucion,tipo_beca,monto,fecha_inicio,fecha_cierre,rsh_maximo,nem_minimo,regiones,descripcion,descripcion_larga,url,documentos_requeridos
Beca Municipal de Educacion Superior Nueva Imperial,Municipalidad de Nueva Imperial,Beca de Mantencion Municipal,$200.000 en 2 cuotas semestrales de $100.000 (Cuenta RUT),2026-03-04,2026-03-29,70,5.5,IX,Beca DIDECO Nueva Imperial. RSH 70%. NEM 5.5 EM / 5.0 Ues / 4.5 CFT-IP. Incompatible Beca Indigena y BPR.,Monto de $200.000 en 2 cuotas de $100.000 via Cuenta RUT. Postulacion 04-29 mar. Resultados segunda quincena may. RSH 70%. NEM 5.5 EM. 5.0 Ues. 4.5 CFT/IP. Incompatible con Beca Indigena. BPR y Beca de Residencia Familiar.,https://www.nuevaimperial.cl/,[OBLIGATORIO] Ficha de postulacion DIDECO; [OBLIGATORIO] Certificado de Alumno Regular oficial; [OBLIGATORIO] Concentracion de notas original; [OBLIGATORIO] Cartola RSH
Beca Estudiantil Municipal Lautaro,Municipalidad de Lautaro,Beca de Mantencion Municipal,$150.000 anuales de libre disposicion,2026-03-15,2026-04-15,60,5.0,IX,Beca DIDECO Lautaro de $150.000. Sin titulo previo. Carrera minima 4/8 semestres.,Aporte unico de $150.000. Postulacion 15 mar al 15 abr. Carrera tecnica minimo 4 semestres o profesional 8 semestres. No titulo previo ni posgrado.,https://www.munilautaro.cl/,[OBLIGATORIO] Fotocopia Cedula Identidad; [OBLIGATORIO] Certificado de Alumno Regular con timbre y firma; [OBLIGATORIO] Certificado de notas; [OBLIGATORIO] Cartola RSH
Beca Municipal para Estudios Superiores Pitrufquen,Municipalidad de Pitrufquen,Beca de Mantencion Municipal,$100.000 anuales en cuota unica,2026-03-01,2026-03-31,60,5.0,IX,Beca DIDECO Pitrufquen de $100.000. Debe reintegrar si abandona.,Aporte de $100.000 en cuota unica. Postulacion presencial marzo. RSH 60%. Promedio 5.0. Si suspende o abandona debe reintegrar fondos.,https://www.mpitrufquen.cl/,[OBLIGATORIO] Formulario Unico de Postulacion; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas del ultimo ano; [OBLIGATORIO] Acreditacion de ingresos del grupo familiar
Beca Municipal Estudiantil Gorbea,Municipalidad de Gorbea,Beca de Mantencion Municipal,$150.000 en 1 cuota anual por transferencia,2026-03-15,2026-04-15,70,5.0,IX,Beca DIDECO Gorbea de $150.000. 3 anos residencia. No si Gratuidad cubre mantencion.,Monto de $150.000 en una cuota. Postulacion 15 mar al 15 abr. Residencia minima 3 anos en Gorbea. RSH 70%. Incompatible con Gratuidad al 100% que cubra mantencion.,https://municipalidadgorbea.cl/,[OBLIGATORIO] Certificado de Residencia emitido por Carabineros o Junta de Vecinos (firmado por presidente y secretario); [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Notas; [OBLIGATORIO] Fotocopia Cuenta RUT
Beca Municipal de Educacion Superior Loncoche,Municipalidad de Loncoche,Beca de Mantencion Municipal,$200.000 en 2 pagos semestrales de $100.000 (renovacion en agosto),2026-03-01,2026-03-30,60,5.0,IX,Beca DIDECO Loncoche de $200.000. Sin ramos reprobados. Renovacion ago.,Asignacion de $200.000 en 2 pagos semestrales de $100.000 condicionada a renovacion de notas en agosto. RSH 60%. Promedio 5.0. No se aceptan postulaciones con ramos reprobados.,https://www.muniloncoche.cl/,[OBLIGATORIO] Ficha de postulacion municipal; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular original; [OBLIGATORIO] Concentracion de notas anual
Beca Municipal de Educacion Superior La Union,Municipalidad de La Union,Beca de Mantencion Municipal,$350.000 en cuota unica (100 cupos),2026-02-22,2026-03-21,70,5.5,XIV,Beca DIDECO La Union de $350.000. 100 cupos. 100% carga aprobada. Unico por familia.,Aporte de $350.000 en cuota unica con 100 cupos. RSH 70%. NEM 5.5 primer ano. 5.0 cursos superiores con 100% carga aprobada. Incompatible si otro integrante del grupo familiar ya es beneficiario.,https://www.munilaunion.cl/,[OBLIGATORIO] Cedula de Identidad; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado historico de notas; [OBLIGATORIO] Respaldo de gastos basicos (agua. luz. arriendo)
Programa Beca Municipal Rio Bueno,Municipalidad de Rio Bueno,Beca de Mantencion Municipal,$200.000 base + bono adicional de movilizacion rural,2026-03-01,2026-03-31,60,5.0,XIV,Beca DIDECO Rio Bueno de $200.000 base + bono rural.,Monto base de $200.000 con bono adicional de movilizacion para alumnos de sectores rurales. Estudiar fuera de la comuna. RSH 60%. Promedio 5.0.,https://www.muniriobueno.cl/,[OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de Notas; [OBLIGATORIO] Certificado de ruralidad (si aplica al bono extra)
Beca de Estudios Superiores Municipalidad de Purranque,Municipalidad de Purranque,Beca de Mantencion Municipal,$150.000 de libre disposicion. Solo carreras presenciales.,2026-03-15,2026-04-07,60,5.0,X,Beca DIDECO Purranque de $150.000. Excluye distancia y b-learning.,Aporte unico de $150.000 para arancel matricula o pension. Solo carreras presenciales. Se excluyen a distancia o b-learning. Promedio 5.0.,https://www.purranque.cl/,[OBLIGATORIO] Formulario DIDECO firmado; [OBLIGATORIO] Certificado de Alumno Regular indicando modalidad presencial; [OBLIGATORIO] Notas oficiales; [OBLIGATORIO] Liquidaciones de sueldo de la familia
Beca Municipal Educacion Superior Quellon,Municipalidad de Quellon,Beca de Mantencion y Pasajes,$250.000 anuales para conectividad y pasajes,2026-03-01,2026-03-31,70,5.0,X,Beca DIDECO Quellon de $250.000. Estudiantes chilotes fuera de la comuna.,Subsidio de $250.000 enfocado en conectividad y pasajes para estudiantes chilotes que estudian en el continente u otras ciudades. RSH 70%. Promedio 5.0. Oficina de la Juventud.,https://www.muniquellon.cl/,[OBLIGATORIO] Certificado de residencia insular/comunal; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de alumno regular; [OBLIGATORIO] Certificado de notas
Beca de Educacion Superior Ilustre Municipalidad de Chonchi,Municipalidad de Chonchi,Beca de Mantencion Municipal,$200.000 en 2 remesas de $100.000 (abril y septiembre). Rendicion de gastos obligatoria.,2026-03-01,2026-03-31,60,5.0,X,Beca DIDECO Chonchi de $200.000. Rendicion de boletas para segunda cuota.,Asignacion de $200.000 en 2 remesas de $100.000 (abril y septiembre). Renovacion obligatoria de documentos en agosto. Rendicion de gastos de primera cuota con boletas (pasajes. utiles. arriendo) obligatoria para segunda cuota.,https://municipalidadchonchi.cl/,[OBLIGATORIO] Formulario DIDECO; [OBLIGATORIO] Certificado de alumno regular original; [OBLIGATORIO] Concentracion de notas; [OBLIGATORIO] Boletas de rendicion (para la segunda cuota)
