nombre,institucion,tipo_beca,monto,fecha_inicio,fecha_cierre,rsh_maximo,nem_minimo,regiones,descripcion,descripcion_larga,url,documentos_requeridos
Beca Municipal Incentivo a la Educacion Superior,Municipalidad de Diego de Almagro,Beca de Mantencion Municipal,$400.000 pago unico (Royalty Minero. 200 cupos: 185 presencial + 15 online),2026-10-06,2026-10-15,60,5.0,III,Beca DIDECO Diego de Almagro de $400.000. Royalty Minero. 2do semestre 1er ano.,Monto exacto de $400.000 en pago unico financiado por Royalty Minero. 200 cupos: 185 presenciales y 15 online. Postulacion 6-15 oct. Segundo semestre del primer ano de ES. Egresado de Liceo Manuel Magalhaes. Diego de Almeida o CEIA. Sin deuda de rendicion.,https://imda.gob.cl/beca-municipal/,[OBLIGATORIO] Certificado de Alumno Regular indicando fecha de solicitud; [OBLIGATORIO] Licencia de Ensenanza Media local; [OBLIGATORIO] RSH
Beca Municipal Jose Panichine Cayun,Municipalidad de Rio Ibanez,Beca de Mantencion Municipal,$450.000 pago unico en septiembre,2026-08-01,2026-08-31,60,5.0,XI,Beca DIDECO Rio Ibanez de $450.000. Exclusiva para no beneficiarios JUNAEB.,Aporte unico de $450.000 transferido en septiembre. Exclusiva para estudiantes que postularon y NO resultaron beneficiados con Beca Aysen o Beca Patagonia Aysen de JUNAEB.,https://rioibanez.cl/,[OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Respaldo de rechazo de Becas JUNAEB; [OBLIGATORIO] Cartola RSH
Programa de Beca Municipal para Ensenanza Superior,Municipalidad de Paillaco,Beca de Mantencion Municipal,$70.000 mensuales (marzo-diciembre. $700.000 total anual),2026-02-28,2026-03-31,60,5.0,XIV,Beca DIDECO Paillaco de $70.000 mensuales. Total $700.000.,Monto fijo mensual de $70.000 de marzo a diciembre (total $700.000). Postulacion anunciada a fines de febrero. Criterio socioeconomico deficitario DIDECO.,https://www.munipaillaco.cl/,[OBLIGATORIO] Formulario Unico de Postulacion; [OBLIGATORIO] Certificado de notas; [OBLIGATORIO] Certificado de Alumno Regular vigente
Beca Municipal de Educacion Superior Los Lagos,Municipalidad de Los Lagos,Beca de Mantencion Municipal,$100.000 pago unico (Reglamento Art. 9),2026-03-01,2026-05-10,60,4.5,XIV,Beca DIDECO Los Lagos de $100.000. RSH 60%. 70% asignaturas aprobadas. No distancia.,Monto de $100.000 pago unico (Reglamento Art. 9). RSH 60%. Renovantes: 70% asignaturas aprobadas y NEM anual >= 4.5. No preuniversitarios. capacitacion ni distancia.,https://muniloslagos.cl/,[OBLIGATORIO] Certificado de avance curricular del ano anterior (renovantes); [OBLIGATORIO] Concentracion de notas; [OBLIGATORIO] Fotocopia Cedula de Identidad
Beca Municipal de Estudios Superiores (Modalidad Reembolso de Matricula),Municipalidad de Licanten,Beca de Arancel y Reembolso,Reembolso del costo exacto de matricula aprobado por Concejo Municipal,2026-03-01,2026-05-31,60,5.0,VII,Beca DIDECO Licanten de reembolso de matricula.,Modalidad de reembolso directo: el municipio reintegra el costo exacto pagado por matricula tras aprobacion del Concejo Municipal. Comprobante de pago timbrado de la casa de estudios.,https://www.mlicanten.cl/,[OBLIGATORIO] Comprobante de pago original de la matricula; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Cartola RSH
Beca Municipal de Transporte Escolar (Educacion Superior),Municipalidad de Tiltil,Beca de Movilidad,$100.000 anuales (50 cupos),2026-03-01,2026-04-30,60,5.0,RM,Beca DIDECO Tiltil de transporte de $100.000. 50 cupos.,Aporte de $100.000 anuales con limite estricto de 50 cupos. Exclusivo para estudiantes que deban incurrir en gastos de transporte fuera de la comuna.,https://munitiltil.cl/,[OBLIGATORIO] Certificado de residencia; [OBLIGATORIO] Certificado de Alumno Regular indicando sede; [OBLIGATORIO] RSH
Beca Municipal Ilustre Municipalidad de La Estrella,Municipalidad de La Estrella,Beca de Mantencion Municipal,$25.000 mensuales ($250.000 total anual),2026-03-01,2026-03-31,60,5.0,VI,Beca DIDECO La Estrella de $25.000 mensuales. Total $250.000.,Monto de $25.000 mensuales (total $250.000). Aprobado por concejo municipal. RSH deficitario.,https://www.munilaestrella.cl/,[OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas del ano anterior; [OBLIGATORIO] RSH
Beca Municipal de Estudiantes de Educacion Superior,Municipalidad de Marchigue,Beca de Mantencion y Cofinanciamiento,Pago categorizado por tramos segun valor de matricula,2026-03-01,2026-03-31,60,5.0,VI,Beca DIDECO Marchigue con pago categorizado por tramos. Excluye diplomados.,Monto categorizado por tramos segun valor de matricula (ordenanza municipal). Excluye explicitamente diplomados. cursos y capacitaciones (Art. 5 letra B).,https://marchigue.cl/,[OBLIGATORIO] Comprobante o certificado de valor arancel/matricula; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] RSH
Beca Municipal de Vitacura,Municipalidad de Vitacura,Beca de Mantencion Municipal,$820.000 aprox anual por alumno (piso $193.100.000 entre 235 benef.),2025-12-01,2026-01-31,60,5.5,RM,Beca DIDECO Vitacura de $820.000 aprox. Proceso dic-ene. Excelencia academica.,Alto estandar: presupuesto anual de $193.100.000 entre ~235 beneficiarios ($820.000 aprox por alumno). Proceso diciembre-enero. Tarjeta Mi Vita. Excelencia academica comprobada e informe social.,https://vitacura.cl/,[OBLIGATORIO] Tarjeta Mi Vita o certificado notarial de residencia; [OBLIGATORIO] Certificados de notas con excelencia academica; [OBLIGATORIO] Acreditacion formal de ingresos familiares
Beca Municipal (Programa Becas San Fernando),Municipalidad de San Fernando,Beca de Mantencion Municipal,Aporte monetario anual (7 cupos nuevos + renovantes),2026-03-01,2026-04-30,60,5.0,VI,Beca DIDECO San Fernando. 7 cupos nuevos. Beca arancelaria previa en EM.,Aporte monetario con 7 cupos exclusivos para nuevos postulantes mas renovantes. Orientada a egresados de educacion municipal o subvencionada de la comuna con rendimiento sobresaliente. Requiere certificado de direccion de liceo validando beca arancelaria previa en ensenanza media.,https://municipalidadsanfernando.cl/,[OBLIGATORIO] Certificado emitido por Direccion de establecimiento de origen validando beca arancelaria previa; [OBLIGATORIO] Certificado de notas sobresalientes; [OBLIGATORIO] Alumno Regular
