nombre,institucion,tipo_beca,monto,fecha_inicio,fecha_cierre,rsh_maximo,nem_minimo,regiones,descripcion,descripcion_larga,url,documentos_requeridos
Beca Municipal de Rio Negro 2026,Municipalidad de Rio Negro,Beca de Mantencion Municipal,$200.000 fijo,2026-04-07,2026-05-07,40,5.0,X,Beca DIDECO Rio Negro de $200.000. RSH 40%. Exclusivo egresados liceo comuna.,Monto de $200.000. Postulacion 7 abr-7 may con entrevista programada online o presencial (8:30-13:00). RSH estricto 40%. Obligatorio egreso de 4to medio de establecimiento de Rio Negro. Excluye Ley 18.695.,https://www.munirionegro.cl/,[OBLIGATORIO] Certificado de alumno regular 2026; [OBLIGATORIO] Cartola RSH hasta 40%; [OBLIGATORIO] Certificado de egreso de liceo de Rio Negro
Beca Municipal Alberto Antonio Herrera Cardenas,Municipalidad de San Juan de la Costa,Beca de Mantencion Municipal,$212.121 aprox prom (33 benef.. pto $7.000.000),2026-03-01,2026-03-31,60,4.5,X,Beca Alberto Herrera de San Juan de la Costa. 5 anos minimo en basica comuna. NEM 4.5.,Presupuesto $7.000.000 entre 33 estudiantes. 5 anos continuos o discontinuos de Educacion Basica en la comuna. NEM 4.5.,https://www.sanjuandelacosta.cl/,[OBLIGATORIO] Informe de alumno regular certificando 5 anos de estudios basicos en la comuna; [OBLIGATORIO] Informe de Asistente Social; [OBLIGATORIO] Certificado de Notas
Beca Municipal Sebastian Reyes Fuentealba,Municipalidad de Palena,Beca de Mantencion Municipal,Aporte segun disponibilidad DIDECO,2026-03-01,2026-08-15,60,5.0,X,Beca DIDECO Palena. 60% ramos aprobados. PDF a dideco@municipalidadpalena.cl.,Aporte segun presupuesto DIDECO. Renovacion segundo semestre vence 15 ago. 60% ramos aprobados y promedio 5.0. Documentos en PDF a dideco@municipalidadpalena.cl.,https://municipalidadpalena.cl/,[OBLIGATORIO] Certificado de alumno regular; [OBLIGATORIO] Certificado de notas; [OBLIGATORIO] Certificado medico de enfermedades cronicas del grupo familiar (opcional. suma puntaje)
Beca Educacion Superior y Beca Ayuda para Transporte,Municipalidad de Las Cabras,Beca de Mantencion y Transporte,10 UF ($250.000 aprox) o 5 UF ($125.000 aprox) transporte,2026-03-01,2026-03-31,60,6.0,VI,Beca DIDECO Las Cabras de 10 UF o 5 UF. NEM 6.0. Ponderacion 50% notas + 50% ficha.,Beca Educacion Superior: 10 UF ($250.000). Beca Transporte: 5 UF ($125.000). Ponderacion 50% notas y 50% ficha social. NEM 6.0 Merito y 5.5 Transporte. Carreras minimo 4 semestres. Duracion formal del plan.,https://www.lascabrasmunicipalidad.cl/,[OBLIGATORIO] Concentracion de Notas de 1o a 4o medio; [OBLIGATORIO] Declaracion Jurada Simple indicando establecimiento de egreso; [OBLIGATORIO] Alumno Regular
Beca Ignacio Domeyko (Educacion Superior),Municipalidad de Andacollo,Beca de Mantencion Municipal,$300.000 anuales (o $250.000 en 2 cuotas: mayo y septiembre),2026-03-01,2026-08-29,60,5.0,IV,Beca Ignacio Domeyko de Andacollo. Exclusivo egresados Liceo Pedro Regalado. Colegio Parroquial o CEIA.,Monto de $300.000 (o $250.000 en 2 cuotas mayo y septiembre). Plazo extendido hasta 29 ago. Exclusivo egresados del Liceo Pedro Regalado Videla. Colegio Parroquial o CEIA de Andacollo. Incompatible con titulo > 8 semestres ni Beca Pedro Regalado.,https://andacollochile.cl/,[OBLIGATORIO] RSH de Andacollo; [OBLIGATORIO] Formulario Unico de Postulacion; [OBLIGATORIO] Certificados de notas y matricula
Beca de Ensenanza Superior Maullin,Municipalidad de Maullin,Beca de Mantencion Municipal,Asignacion depositada en cuenta. Beca Deportiva paralela de $300.000.,2026-02-01,2026-03-31,60,5.0,X,Beca DIDECO Maullin. Rendicion obligatoria a social@munimaullin.cl.,Asignacion economica depositada en cuenta. Beca Deportiva paralela de $300.000. Rendicion obligatoria de fondos via Declaracion Jurada Simple a social@munimaullin.cl para no quedar vetado.,https://munimaullin.cl/,[OBLIGATORIO] Formulario de postulacion a la Beca Municipal; [OBLIGATORIO] Declaracion Jurada Simple firmada; [OBLIGATORIO] Certificado de Alumno Regular actualizado
Beca Concejo Municipal y Beca Samuel Ovalle,Municipalidad de Mostazal,Beca de Mantencion Municipal,$600.000 (Concejo) / $300.000 (Samuel Ovalle). Pto $200MM+.,2026-01-03,2026-02-28,60,5.5,VI,Beca DIDECO Mostazal. $600K o $300K. 100% ramos aprobados o NEM 5.5.,Beca Concejo Municipal: $600.000. Beca Samuel Ovalle: $300.000. Inversion municipal $200MM+. Renovantes 3-31 ene. Nuevos 1-28 feb. Renovantes: 100% ramos aprobados. Nuevos: NEM 5.5.,https://mostazal.cl/,[OBLIGATORIO] Postulacion fisica en oficinas central. Anexo La Punta. Santa Julia o Biblioteca Publica N74; [OBLIGATORIO] Certificados de notas y alumno regular
Beca Municipal de Asistencialidad Chaiten,Municipalidad de Chaiten,Beca de Mantencion Municipal,Fondo semestral $10.000.000 a repartir entre seleccionados,2026-03-01,2026-03-28,80,5.5,X,Beca DIDECO Chaiten. RSH 80%. NEM 5.5 EM. Preferentemente fuera de la comuna.,Fondo semestral de $10.000.000. RSH 80%. NEM 5.5 EM y 5.0 ES. Preferentemente estudiar fuera de la comuna. Residencia acreditada por JJVV. Entregas en DIDECO Chaiten y Delegacion Ayacara.,https://www.municipalidadchaiten.cl/,[OBLIGATORIO] Certificado de residencia acreditado por Junta de Vecinos; [OBLIGATORIO] Fotocopia Cuenta RUT; [OBLIGATORIO] Informe socioeconomico municipal
Beca Estudiantil Municipal Olivar,Municipalidad de Olivar,Beca de Mantencion Municipal,$45.000 mensuales ($450.000 total anual),2026-03-01,2026-05-31,60,5.0,VI,Beca DIDECO Olivar de $45.000 mensuales. Ceremonia en Teatro Municipal.,Pago mensual de $45.000 (10 meses. total $450.000). Ceremonia de entrega en Teatro Municipal en mayo/junio. Ficha RSH en Olivar y excelencia academica.,https://muniolivar.cl/,[OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas del ano anterior; [OBLIGATORIO] Cartola RSH
Beca Municipal y Beca Merito Deportivo,Municipalidad de Punitaqui,Beca de Mantencion y Deportiva,Hasta 5 UTM anuales,2026-03-01,2026-05-31,60,5.0,IV,Beca DIDECO Punitaqui. Hasta 5 UTM. Sin deudas ni rendiciones pendientes.,Beca Merito Deportivo: hasta 5 UTM anuales. Postulacion desde primer dia habil de marzo hasta ultimo dia habil de mayo (8:30-17:30). Sin deudas ni rendiciones pendientes. Solo carreras con grado tecnico o superior.,https://www.munipunitaqui.cl/,[OBLIGATORIO] Informe socioeconomico; [OBLIGATORIO] Certificado de alumno regular; [OBLIGATORIO] Ranking de especialidad o carta de recomendacion de preparador tecnico (cupo deportivo)
