nombre,institucion,tipo_beca,monto,fecha_inicio,fecha_cierre,rsh_maximo,nem_minimo,regiones,descripcion,descripcion_larga,url,documentos_requeridos
Distincion Excelencia Academica UCN,Universidad Católica del Norte,Beca de Excelencia Academica,100% arancel primer ano,2026-01-01,2026-12-31,,"6.4","II,IV",Cubre 100% del arancel del primer ano para el mejor puntaje PAES de cada carrera.,Distincion Excelencia Academica UCN. Cubre arancel completo del primer ano para el mejor PAES. NEM 6.4 y PAES 900 puntos.,https://admision.ucn.cl/becas-y-ayudas/becas-y-beneficios-ucn/,"[OBLIGATORIO] Certificado oficial de resultados PAES emitido por DEMRE; [OBLIGATORIO] Certificado de Concentracion de Notas (NEM) Mineduc"
Alimentacion UCN,Universidad Católica del Norte,Beca de Alimentacion,Almuerzo y cena en casino,2026-01-01,2026-12-31,60,,"II,IV",Almuerzo y cena para estudiantes nuevos UCN.,Beca de Alimentacion UCN.,https://admision.ucn.cl/becas-y-ayudas/becas-y-beneficios-ucn/,"[OBLIGATORIO] Ficha de evaluacion socioeconomica DGE (Direccion General Estudiantil); [OBLIGATORIO] Cartola del Registro Social de Hogares; [OBLIGATORIO] Acreditacion de ingresos (liquidaciones. honorarios o cotizaciones)"
Plan de Escolaridad Segura UCN,Universidad Católica del Norte,Beca de Arancel,100% arancel post fallecimiento sostenedor,2026-01-01,2026-12-31,,,"II,IV",Cubre arancel desde fallecimiento hasta duracion carrera mas un ano de gracia.,Plan de Escolaridad Segura UCN.,https://admision.ucn.cl/becas-y-ayudas/becas-y-beneficios-ucn/,"[OBLIGATORIO] Certificado de defuncion del sostenedor; [OBLIGATORIO] Contrato de prestacion de servicios educacionales firmado"
Beca de Excelencia Deportiva,Universidad de Talca,Beca Deportiva,Arancel o monto en dinero,2026-01-01,2026-12-31,,,VII,Cubre arancel o entrega monto para deportistas Talento Deportivo UTalca.,Beca Excelencia Deportiva UTalca.,https://admision.utalca.cl/becas/,"[OBLIGATORIO] Certificado oficial de la federacion deportiva respectiva; [OBLIGATORIO] Curriculum deportivo visado; [OBLIGATORIO] Evaluacion tecnica del Programa de Deportes"
Beca de Arancel para Pedagogias,Universidad de Talca,Beca de Arancel,Exencion arancel anual,2026-01-01,2026-12-31,,,VII,Exencion total del arancel para estudiantes de Pedagogia.,Beca Arancel Pedagogias UTalca.,https://admision.utalca.cl/becas/,"[OBLIGATORIO] Certificado oficial de resultados PAES emitido por DEMRE"
Beca Abate Molina,Universidad de Talca,Beca de Arancel,75% arancel anual,2026-01-01,2026-12-31,,,VII,75% del arancel para hijos de funcionarios UTalca.,Beca Abate Molina UTalca.,https://admision.utalca.cl/becas/,"[OBLIGATORIO] Certificado oficial de resultados PAES emitido por DEMRE"
Beca Deportiva UACh,Universidad Austral de Chile,Beca Deportiva,Descuento arancel,2026-03-15,2026-04-15,,,"XIV,X",Beca para deportistas destacados UACh.,Beca Deportiva UACh.,https://www.uach.cl/cedere/beneficios-estudiantiles,"[OBLIGATORIO] Certificado de seleccionado regional o nacional emitido por IND o Federacion; [OBLIGATORIO] Evaluacion practica del Centro de Deportes y Recreacion UACh"
Hogar Estudiantil UACh,Universidad Austral de Chile,Beca de Mantencion,Alojamiento a bajo costo,2026-01-01,2026-12-31,60,,"XIV,X",Cupo en hogares estudiantiles UACh.,Hogar Estudiantil UACh.,https://uach.cl/alumnos/utiles/bienestar-integral,"[OBLIGATORIO] Ficha de postulacion DAE UACh; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Acreditacion de ingresos del grupo familiar; [OBLIGATORIO] Certificado de Residencia emitido por junta de vecinos o notaria"
Beca de Honor Primer Lugar de Matricula,Universidad de Valparaíso,Beca de Excelencia Academica,100% arancel primer ano,2026-01-01,2026-12-31,,,V,Exencion 100% arancel primer ano para primer lugar de matricula.,Beca Honor UV.,https://admision.uv.cl/becas-y-beneficios,"[OBLIGATORIO] Certificado oficial de resultados PAES emitido por DEMRE"
Beca de Excelencia Deportiva UV,Universidad de Valparaíso,Beca Deportiva,Descuento arancel,2026-01-01,2026-12-31,,,V,Descuento arancel para deportistas UV.,Beca Deportiva UV.,https://dae.uv.cl/,"[OBLIGATORIO] Curriculum deportivo documentado; [OBLIGATORIO] Certificado emitido por asociacion deportiva o IND; [OBLIGATORIO] Constancia de prueba tecnica aprobada por Area de Deportes UV"
Premio Puntaje Maximo PAES,Universidad Tecnica Federico Santa Maria,Beca de Excelencia Academica,50-100% arancel y matricula,2026-01-01,2026-12-31,,,"V,RM,VIII",Exencion de arancel y matricula para puntajes maximos PAES.,Premio Puntaje Maximo UTFSM.,https://usm.cl/admision/becas/,"[OBLIGATORIO] Certificado oficial de resultados PAES emitido por DEMRE; [OBLIGATORIO] Certificado Concentracion de Notas (NEM) Mineduc"
Beca Deportista Elite USM,Universidad Tecnica Federico Santa Maria,Beca Deportiva,100% arancel y matricula,2026-01-01,2026-12-31,,,"V,RM,VIII",100% arancel y matricula para Deportista Elite.,Beca Deportista Elite UTFSM.,https://usm.cl/admision/becas/,"[OBLIGATORIO] Certificado de nivel competitivo (IND o federacion); [OBLIGATORIO] Ficha medica que acredite salud compatible; [OBLIGATORIO] Evaluacion tecnica del DEFIDER"
Beca UANDES por puntaje PAES,Universidad de los Andes,Beca de Excelencia Academica,15-100% matricula y arancel,2026-01-01,2026-12-31,,,RM,Beca PAES UANDES con cobertura 15-100%.,Beca PAES UANDES.,https://admision.uandes.cl/becas,"[OBLIGATORIO] Certificado oficial de resultados PAES DEMRE"
Beca UANDES Economica,Universidad de los Andes,Beca de Arancel,15-70% arancel y matricula,2026-01-01,2026-12-31,60,,RM,Beca socioeconomica UANDES 15-70%.,Beca Economica UANDES.,https://admision.uandes.cl/becas,"[OBLIGATORIO] Formulario de postulacion de Asuntos Estudiantiles; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] 6 ultimas liquidaciones de sueldo de los sostenedores; [OBLIGATORIO] Certificado de 12 ultimas cotizaciones AFP; [OBLIGATORIO] Declaracion de gastos del grupo familiar"
Beca Hijo Funcionario UANDES,Universidad de los Andes,Beca de Arancel,50% arancel anual,2026-01-01,2026-12-31,,,RM,50% arancel para hijos de funcionarios UANDES.,Beca Hijo Funcionario UANDES.,https://admision.uandes.cl/becas,"[OBLIGATORIO] Certificados de Nacimiento con asignacion familiar; [OBLIGATORIO] Fotocopia Cedula de Identidad de los hermanos matriculados en la institucion"
